id_artist,nome,edizione,periodo_attivita
3xGlLcG9CUrs5MvFkSLOS5,Marco Mengoni,2013,2009
5jcswtptZttxBwWKXbR5k5,Malika Ayane,2013,1995
6hu9cUsJDFg2kUkAAjOepA,Raphael Gualazzi,2013,2005
6q8f3fxaWqkXzkbxtKOzYF,Daniele Silvestri,2013,1994
1h5O32I1o0VOnpLmKXLfRa,Max Gazzè,2013,1990
5pJV7GdYrjU3zQpxc24kN7,Chiara Galiazzo,2013,2012
0EqkKYDK9EkKY5N7zU3FPv,Annalisa,2013,2004
0sqq7uB8agn7oT15sssKRz,Simone Cristicchi,2013,1994
5d5jafxHTP33OEUupZCxJq,Simona Molinari,2013,2005
1PjKnsWzJra4dV8OXiNC5F,Peter Cincotti,2013,2000
25x6MD0spNNS7z93Sat30K,Arisa,2014,2008
6hu9cUsJDFg2kUkAAjOepA,Raphael Gualazzi,2014,2005
3uAIPzsjVYXpAek9PPxIXt,Renzo Rubino,2014,
3TAYxk5QBcHunmb0qkeTn2,Francesco Renga,2014,1984
62C5P1caRIK12ndTkzNJjA,Noemi,2014,
4vhlKamY3mdKkq6V6cChOJ,Cristiano De André,2014,1980
15tvxTXbemwnKQq1aRoPpI,Frankie HI-NRG MC,2014,1992
0dwEXtB6gceh7EO7tCsxhD,Giusy Ferreri,2014,1998
16VwDz5nZgs3ZPEN5xmORY,Francesco Sarcina,2014,1999
2jLEscFAP2hVe8fsJ0HO6I,Giuliano Palma,2014,1987
43wEeBstQu4lBC5V6oRdNG,Riccardo Sinigallia,2014,1988
5mXMQJHLLfym1KyNcDrhoZ,Nek,2015,1986
5jcswtptZttxBwWKXbR5k5,Malika Ayane,2015,1995
0EqkKYDK9EkKY5N7zU3FPv,Annalisa,2015,2004
5pJV7GdYrjU3zQpxc24kN7,Chiara Galiazzo,2015,2012
0kcOfjhVfDMTS09s9aLmuD,Marco Masini,2015,1990
4IKtlNi0pEltspa4wFHHCL,Bianca Atzei,2015,2011
0H1InhXaXQPL1aj0mvHemU,Gianluca Grignani,2015,1994
5zRmtoBOCk7JaYHI78Y5b5,Nina Zilli,2015,2000
0tTS475qIqv3KXYZMXjsYy,Lorenzo Fragola,2015,2014
2cNC9hjjdsMKLv0m2m9p1D,Alex Britti,2015,1985
0Ob8qRZ9R1jhibRue9ap1H,Irene Grandi,2015,1992
64J8DKMWjl0AxL30tawsLh,Nesli,2015,1999
2Wihg8pti3bPnQ4ByrU309,Moreno,2015,2007
2euLqbHMrE4QXMFMEBGqOs,Grazia Di Michele,2015,1978
1r3U4ooJivdMBlvSHPzt0Y,Mauro Coruzzi,2015,1980
3rlKqNmhaP9UiC0wFQyFS3,Raf,2015,1977
2TtebnfWKMq7LCi2A9BlU4,Anna Tatangelo,2015,2001
4jFlmD92WULLlaRS8Cj6QS,Francesca Michielin,2016,2011
0rVjxMmahuf20itFlVo1Di,Giovanni Caccamo,2016,2009
27F6zQrVHjYhAQp3ffmWwZ,Deborah Iurato,2016,2014
74GAIbV9WqMEciQF9kgZYj,Enrico Ruggeri,2016,1972
0tTS475qIqv3KXYZMXjsYy,Lorenzo Fragola,2016,2014
2Yi5fknmHBqqKjHF6cXQyh,Patty Pravo,2016,1966
0ba6wsfB7G2rhdHMebCdO3,Clementino,2016,1996
62C5P1caRIK12ndTkzNJjA,Noemi,2016,
0L1f9i3L3fkMNENljDOsjG,Rocco Hunt,2016,2005
25x6MD0spNNS7z93Sat30K,Arisa,2016,2008
0EqkKYDK9EkKY5N7zU3FPv,Annalisa,2016,2004
6YqnuGUFh2n0bnLdxpszxE,Valerio Scanu,2016,2002
5h3q1B0hEjnq3BL8WYh9GE,Alessio Bernabei,2016,2012
7lkfsloQGm2Z9S9kbmIcFU,Dolcenera,2016,2002
6du9Puo2l3J6yBZjWvu8Sx,Irene Fornaciari,2016,1998
54dqxLAclwu0QSaTwCyCaF,Neffa,2016,1988
5lzqFxifzjxYHGJxuwQqtR,Francesco Gabbani,2017,2000
5VxhGHbcuvqTLRUWzBUN8L,Fiorella Mannoia,2017,1968
4XWTdNlsP8jqo5BDn5hgmd,Ermal Meta,2017,2006
1CF7hrTuWgErEa6HBFJ8d3,Michele Bravi,2017,2013
7dNlfF1yoOCoclHmZuUemi,Paola Turci,2017,1985
4Qd0fF3Bmarm9njMZetTrw,Sergio Sylvestre,2017,2016
3ebOqZZsLCDAkLS6QdI8cc,Fabrizio Moro,2017,1996
7GgpsUpkj3olseoaTY7TEY,Elodie,2017,2015
4IKtlNi0pEltspa4wFHHCL,Bianca Atzei,2017,2011
0zcmS7osRfOk8EJpwUvQFr,Samuel,2017,1996
7GQA0yMdSaivapYpUqgfKJ,Michele Zarrillo,2017,1972
1vANzzDo9L1ZyCKJaYQQvq,Lodovica Comello,2017,2009
0kcOfjhVfDMTS09s9aLmuD,Marco Masini,2017,1990
5pJV7GdYrjU3zQpxc24kN7,Chiara Galiazzo,2017,2012
5h3q1B0hEjnq3BL8WYh9GE,Alessio Bernabei,2017,2012
0ba6wsfB7G2rhdHMebCdO3,Clementino,2017,1996
2gpELJDuhOQi1DPcI0VFvw,Al Bano,2017,1975
4eSMsVzRJHhN1aq0IvZcyn,Gigi D'Alessio,2017,1992
3vuKNU7lgoecqjnArUKom6,Ron,2017,1970
0dwEXtB6gceh7EO7tCsxhD,Giusy Ferreri,2017,1998
64J8DKMWjl0AxL30tawsLh,Nesli,2017,1999
3eGl8cDy9vbAC3PlHQUh3g,Alice Paba,2017,2016
2Nsm5iGxbJxHoGZwrsOurY,Raige,2017,1999
4PBrqyr7xtWlqCRZFMIssQ,Giulia Luzi,2017,2004
4XWTdNlsP8jqo5BDn5hgmd,Ermal Meta,2018,2006
3ebOqZZsLCDAkLS6QdI8cc,Fabrizio Moro,2018,1996
0EqkKYDK9EkKY5N7zU3FPv,Annalisa,2018,2004
3vuKNU7lgoecqjnArUKom6,Ron,2018,1970
1h5O32I1o0VOnpLmKXLfRa,Max Gazzè,2018,1990
3MQtBfmpkIWAxzuXgLznx6,Luca Barbarossa,2018,1980
5HSP2h4Ai5izYppJrrTijV,Red Canzian,2018,1968
4MR6tQyIrWK82b56cYPBDv,Ornella Vanoni,2018
6gXrMknarCxosAADyDHfme,Bungaro,2018
4KkD8gPbjRCdFybDN5wFNW,Pacifico,2018
2QWrpLRDeBD1NwWAsytBRi,Diodato,2018,2007
6ZABE2V1BqiqDoTT8kgeJb,Roy Paci,2018,1981
0rVjxMmahuf20itFlVo1Di,Giovanni Caccamo,2018,2009
3Q4phRnS8Pcq8s5FRA1aIO,Enzo Avitabile,2018,1981
3nDdKfyI0uMX2svRHHy0q0,Peppe Servillo,2018,1980
3uAIPzsjVYXpAek9PPxIXt,Renzo Rubino,2018,
62C5P1caRIK12ndTkzNJjA,Noemi,2018,
5zRmtoBOCk7JaYHI78Y5b5,Nina Zilli,2018,2000
5rkWh6pgDRZKzJfuccl4qF,Roby Facchinetti,2018,1958
1N0Bm9VCkURJH1FHVCKEcK,Riccardo Fogli,2018,1966
1dRsXw2TtfCXfqMLRiP088,Mario Biondi,2018,1988
06nvjg4wBANK6DCHjqtPNd,Mahmood,2019,2012
3hN3iJMbbBmqBSAMx5veDa,Ultimo,2019,2016
2XpUprTohaksHpVjUtTvlx,Loredana Bertè,2019,1970
0sqq7uB8agn7oT15sssKRz,Simone Cristicchi,2019,1994
6q8f3fxaWqkXzkbxtKOzYF,Daniele Silvestri,2019,1994
5DkmrXKeWgDS86KKEw45o6,Rancore,2019,2004
1fLNnD2YIhtUR8VrX68As4,Manuel Agnelli,2019,1985
5iot8OPcosJN9nCl7I5SdK,Irama,2019,2015
25x6MD0spNNS7z93Sat30K,Arisa,2019,2008
0lI3rF4hi4op6UxqlLHPzv,Achille Lauro,2019,2011
57aMHpsX2SXTbLatmeEd6j,Boss Doms,2019,2008
4Umo1uO9VemTgnkjeUhx8c,Enrico Nigiotti,2019,2008
4xgOj3GP5I1do9ip0MQkLa,Ghemon,2019,1996
1gRsYpSd9fR8x92ppdlCg3,Motta,2019,2006
3TAYxk5QBcHunmb0qkeTn2,Francesco Renga,2019,1984
7dNlfF1yoOCoclHmZuUemi,Paola Turci,2019,1985
1xqolkIzTFMmqgCuD48WNt,Shade,2019,2005
0vQk2DnpCtSLT8QeMbCE6L,Federica Carta,2019,2017
5mXMQJHLLfym1KyNcDrhoZ,Nek,2019,1986
2Yi5fknmHBqqKjHF6cXQyh,Patty Pravo,2019,1966
4FTMyLkoEE9oEUpCv3Dr4p,Briga,2019,2010
2TtebnfWKMq7LCi2A9BlU4,Anna Tatangelo,2019,2001
2A0z6Qg6u9zBYIJW3Cr64J,Einar,2019,2017
4xhEhRE75hHgXMeNeeTTsx,Nino D'Angelo,2019,1975
67ZKaYOA7fXtnWve33FcSX,Livio Cori,2019,2008
2QWrpLRDeBD1NwWAsytBRi,Diodato,2020,2007
5lzqFxifzjxYHGJxuwQqtR,Francesco Gabbani,2020,2000
6gTrPTTb3XgiLt7GGcmf8j,Piero Pelù,2020,
2QezBWDHOoFeVCM3wlzTDu,Tosca,2020,1989
7GgpsUpkj3olseoaTY7TEY,Elodie,2020,2015
0lI3rF4hi4op6UxqlLHPzv,Achille Lauro,2020,2011
0Ob8qRZ9R1jhibRue9ap1H,Irene Grandi,2020,1992
5DkmrXKeWgDS86KKEw45o6,Rancore,2020,2004
6JhUHne9H09NdkTI5E9GSt,Dardust,2020,2000
6hu9cUsJDFg2kUkAAjOepA,Raphael Gualazzi,2020,2005
5mTg1ztZByLRHsOEtwmT4G,Levante,2020,2010
0QJ3p787u7KD0ZhD5vzrCA,Anastasio,2020,2015
7n97gdKHt1WpbhwCSaZGN8,Alberto Urso,2020,2019
0kcOfjhVfDMTS09s9aLmuD,Marco Masini,2020,1990
1x0zlfJWTnI08gqAwMrGpX,Paolo Jannacci,2020,1988
3xc8CD41vwsoBNkGXL3pS7,Rita Pavone,2020,1962
7GQA0yMdSaivapYpUqgfKJ,Michele Zarrillo,2020,1972
4Umo1uO9VemTgnkjeUhx8c,Enrico Nigiotti,2020,2008
0ZhqSTaEEWN6USw0E30pws,Giordana Angi,2020,2012
3o7fC2O4nraaicpID6bBZW,Elettra Lamborghini,2020,2017
215ciYy7TIYnGRim0I1nJ3,JUNIOR CALLY,2020,2011
1DyU8JVejfDzqXo9x2mFfQ,RIKI,2020,2017
01U4yWwtUKMckbI55OiT7g,Bugo,2020,2000
6RUY9TXdPIoeOExtd9twr0,Morgan,2020,1971
4jFlmD92WULLlaRS8Cj6QS,Francesca Michielin,2021,2011
3pgCLfNbw5ozIfoNsvDU7i,Fedez,2021,2006
4XWTdNlsP8jqo5BDn5hgmd,Ermal Meta,2021,2006
2KX2VLr3Eu6sn6EtxzCtvf,Colapesce,2021,2005
1k3zqz5SgrYCE0wpcfJX3g,Dimartino,2021,2010
5iot8OPcosJN9nCl7I5SdK,Irama,2021,2015
00CsjN69YCczmdW0bDKaCC,Willie Peyote,2021,2004
0EqkKYDK9EkKY5N7zU3FPv,Annalisa,2021,2004
1vgQksyJ0IVz8y9XerEOy3,Madame,2021,2018
6W7O7oseXcbYLoiarQrpOw,Orietta Berti,2021,1965
25x6MD0spNNS7z93Sat30K,Arisa,2021,2008
5Or6NSwkamM2NsaHp9VMc2,Davide Toffolo,2021,1994
62C5P1caRIK12ndTkzNJjA,Noemi,2021,
5jcswtptZttxBwWKXbR5k5,Malika Ayane,2021,1995
1QeqGmpgU5Yg74GNcjIIq3,Fulminacci,2021,2019
1h5O32I1o0VOnpLmKXLfRa,Max Gazzè,2021,1990
1hM06YHQ635cZwwUbn7dpk,Fasma,2021,2016
0kbBijEWCi7FWrBpnpOcHd,GG,2021,1964
3AVx3OBPIk4pJQllAXoVs1,Gaia,2021,2016
4xgOj3GP5I1do9ip0MQkLa,Ghemon,2021,1996
3TAYxk5QBcHunmb0qkeTn2,Francesco Renga,2021,1984
1UjLyuJUXKzlECQRLIsF3n,Gio Evan,2021,2013
01U4yWwtUKMckbI55OiT7g,Bugo,2021,2000
5bxbPQo0VkFgZKemF0YKb4,AIELLO,2021,2011
05kigUQCchmbJDmhDiYiS0,Random,2021,2015
06nvjg4wBANK6DCHjqtPNd,Mahmood,2022,2012
1MRiIeZbc0cRuxOafDUCtH,BLANCO,2022,2020
2ARH58Hit3yC6ziGdhma23,Elisa,2022,1997
15FrhfFYJIx7Ijltkpjbsr,Gianni Morandi,2022,1962
5iot8OPcosJN9nCl7I5SdK,Irama,2022,2015
7dL0nOHwnSAsNAwpkPSGWP,sangiovanni,2022,2020
0gzwXezN4IUHAwLufA6YcX,Emma,2022,1997
