id_artist,nome,edizione,periodo_attivita
61r4cE4aoOD50wPNhQ5fF7,Elio e le Storie Tese,2013,1980
3ALm6zJLaJMWV0r89kuYtu,Modà,2013,2002
2S9e1hAGqLqWcjanufgFcn,Marta Sui Tubi,2013,2002
7qE9giF76uQ8UcFwlZhiP6,Almamegretta,2013,1988
0QJKELJZZuLAjqLOOixJm5,The Bloody Beetroots,2014,2006
6oHCbM8jtvJRe0BjKQ90mD,Perturbazione,2014,1988
0dE9ooTNz8iEKIKItRI66t,Il Volo,2015,2009
2SWOP0LsgpQQZa8olP3Wup,Dear Jack,2015,2012
4zf0kIjnzqjWlI3Eaw5VlA,Stadio,2016,1977
61r4cE4aoOD50wPNhQ5fF7,Elio e le Storie Tese,2016,1980
3bf7Y2it29DeOjXpIibCOe,Zero Assoluto,2016,
6q8FspLLQOHpabMMbEb8Vq,Bluvertigo,2016,1992
2SWOP0LsgpQQZa8olP3Wup,Dear Jack,2016,2012
1MBjY2JFotAGoTYDfO80cM,Lo Stato Sociale,2018,2009
72A0Z8q8NiochyK9gUHpCR,The Kolors,2018,2010
3J3PdLj6v1uAs1mWKpzZbX,Le Vibrazioni,2018,
0wSk7M2UXea9whwjDzmK4R,Decibel,2018,1977
61r4cE4aoOD50wPNhQ5fF7,Elio e le Storie Tese,2018,1980
0LiO8GSrYuUjCWMpM0M28q,Neri Per Caso,2018,1995
0dE9ooTNz8iEKIKItRI66t,Il Volo,2019,2009
2lkP8239tkwRjg5N7d2D0w,Frenetik&Orang3,2019,
4mAsWDGLUIEdo6imU77WG6,Boomdabash,2019,2002
237CwiTh0USBnyLOSC3FIW,Ex-Otago,2019,2002
7nrxF1ilcwJNHofGUfsC84,The Zen Circus,2019,1994
0Tuudqq2NACRXkvTQGazY2,Negrita,2019,1991
6RdcIWVKYYzNzjQRd3oyHS,Pinguini Tattici Nucleari,2020,2010
3J3PdLj6v1uAs1mWKpzZbX,Le Vibrazioni,2020,
0lAWpj5szCSwM4rUMHYmrr,Måneskin,2021,2016
0YmQyGKpZgGSDxsC8iEGQU,La rappresentante di lista,2021,2011
1MBjY2JFotAGoTYDfO80cM,Lo Stato Sociale,2021,2009
3ZoQo4lRRScMfUt80dixVp,EXTRALISCIO,2021,2014
0Sv8sjzMHBbAWXt4CGB9Us,Coma_Cose,2021,2017
0YmQyGKpZgGSDxsC8iEGQU,La rappresentante di lista,2022,2011
3J3PdLj6v1uAs1mWKpzZbX,Le Vibrazioni,2022,
