"genres","id_artist"
"italian adult pop, italian pop","3xGlLcG9CUrs5MvFkSLOS5"
"italian adult pop, italian alternative","61r4cE4aoOD50wPNhQ5fF7"
"bow pop, italian adult pop","3ALm6zJLaJMWV0r89kuYtu"
"classic italian pop, italian adult pop","5jcswtptZttxBwWKXbR5k5"
"","6hu9cUsJDFg2kUkAAjOepA"
"classic italian pop, italian adult pop, italian indie pop","6q8f3fxaWqkXzkbxtKOzYF"
"classic italian pop, italian adult pop","1h5O32I1o0VOnpLmKXLfRa"
"eurovision, italian adult pop","5pJV7GdYrjU3zQpxc24kN7"
"italian adult pop, italian pop","0EqkKYDK9EkKY5N7zU3FPv"
"italian adult pop","0sqq7uB8agn7oT15sssKRz"
"folk rock italiano, italian alternative, italian indie pop","2S9e1hAGqLqWcjanufgFcn"
"italian adult pop, italian lounge, swing italiano","5d5jafxHTP33OEUupZCxJq"
"adult standards, contemporary vocal jazz, vocal jazz","1PjKnsWzJra4dV8OXiNC5F"
"italian alternative, italian reggae","7qE9giF76uQ8UcFwlZhiP6"
"italian adult pop","25x6MD0spNNS7z93Sat30K"
"","6hu9cUsJDFg2kUkAAjOepA"
"alternative dance, dance-punk, electro house, fidget house, filter house, new rave","0QJKELJZZuLAjqLOOixJm5"
"","3uAIPzsjVYXpAek9PPxIXt"
"classic italian pop, italian adult pop","3TAYxk5QBcHunmb0qkeTn2"
"italian adult pop, italian pop","62C5P1caRIK12ndTkzNJjA"
"italian alternative, italian indie pop","6oHCbM8jtvJRe0BjKQ90mD"
"canzone d'autore","4vhlKamY3mdKkq6V6cChOJ"
"italian underground hip hop, rap italiano old school, rap napoletano","15tvxTXbemwnKQq1aRoPpI"
"classic italian pop, italian adult pop, italian pop","0dwEXtB6gceh7EO7tCsxhD"
"","16VwDz5nZgs3ZPEN5xmORY"
"","2jLEscFAP2hVe8fsJ0HO6I"
"indie folk italiano, italian alternative","43wEeBstQu4lBC5V6oRdNG"
"italian progressive rock, operatic pop","0dE9ooTNz8iEKIKItRI66t"
"europop, italian adult pop","5mXMQJHLLfym1KyNcDrhoZ"
"classic italian pop, italian adult pop","5jcswtptZttxBwWKXbR5k5"
"italian adult pop, italian pop","0EqkKYDK9EkKY5N7zU3FPv"
"eurovision, italian adult pop","5pJV7GdYrjU3zQpxc24kN7"
"classic italian pop, europop, italian adult pop","0kcOfjhVfDMTS09s9aLmuD"
"italian adult pop","4IKtlNi0pEltspa4wFHHCL"
"italian adult pop","2SWOP0LsgpQQZa8olP3Wup"
"classic italian pop, italian adult pop, mexican pop","0H1InhXaXQPL1aj0mvHemU"
"italian adult pop","5zRmtoBOCk7JaYHI78Y5b5"
"italian adult pop, italian pop","0tTS475qIqv3KXYZMXjsYy"
"classic italian pop, europop, italian adult pop","2cNC9hjjdsMKLv0m2m9p1D"
"classic italian pop, italian adult pop, italian lounge","0Ob8qRZ9R1jhibRue9ap1H"
"italian adult pop, italian hip hop","64J8DKMWjl0AxL30tawsLh"
"","2Wihg8pti3bPnQ4ByrU309"
"","2euLqbHMrE4QXMFMEBGqOs"
"","1r3U4ooJivdMBlvSHPzt0Y"
"classic italian pop, europop, italian adult pop","3rlKqNmhaP9UiC0wFQyFS3"
"classic italian pop, italian adult pop","2TtebnfWKMq7LCi2A9BlU4"
"classic italian pop, italian adult pop","4zf0kIjnzqjWlI3Eaw5VlA"
"italian adult pop, italian pop, italian pop rock","4jFlmD92WULLlaRS8Cj6QS"
"","0rVjxMmahuf20itFlVo1Di"
"","27F6zQrVHjYhAQp3ffmWwZ"
"classic italian pop, italian adult pop","74GAIbV9WqMEciQF9kgZYj"
"italian adult pop, italian pop","0tTS475qIqv3KXYZMXjsYy"
"beat italiano, classic italian pop, italian adult pop","2Yi5fknmHBqqKjHF6cXQyh"
"italian hip hop, rap napoletano","0ba6wsfB7G2rhdHMebCdO3"
"italian adult pop, italian pop","62C5P1caRIK12ndTkzNJjA"
"italian hip hop, italian pop, pop virale italiano, rap napoletano","0L1f9i3L3fkMNENljDOsjG"
"italian adult pop","25x6MD0spNNS7z93Sat30K"
"italian adult pop, italian pop","0EqkKYDK9EkKY5N7zU3FPv"
